196.743,225.596
196.323,227.446
196.143,229.154
196.278,230.709
196.613,232.019
197.158,233.203
198.162,233.83
199.146,234.454
200.058,235.155
201.134,235.644
202.514,235.866
204.023,235.931
205.772,235.738
207.836,235.356
210.302,234.676
211.476,234.77
212.243,235.04
213.078,235.21
214.021,235.243
215.057,235.21
216.29,235.173
217.852,234.88
218.565,235.156
219.208,235.368
219.878,235.565
220.849,235.586
221.837,235.519
223.109,235.108
224.439,234.552
225.329,234.278
225.96,234.218
226.067,234.412
226.142,234.622
226.192,234.809
226.309,234.914
226.388,234.949
226.771,234.829
227.067,234.74
227.224,234.725
227.486,234.68
227.834,234.593
228.195,234.433
228.707,234.164
228.975,234.037
229.101,234.001
229.23,233.962
229.372,233.917
229.529,233.847
229.828,233.725
230.041,233.623
230.015,233.616
229.919,233.601
229.787,233.53
229.664,233.502
229.616,233.391
228.861,233.688
228.397,233.753
227.913,233.898
227.323,234.125
226.759,234.288
226.379,234.236
225.963,234.2
225.554,234.118
225.127,234.032
224.676,233.993
224.141,234.069
223.667,234.109
223.324,234.072
223.021,233.979
223.009,233.764
223.027,233.507
222.974,233.327
222.994,233.158
222.993,232.971
223.019,232.73
223.06,232.463
223.14,232.222
223.206,232.001
223.368,231.62
223.505,231.29
223.665,230.902
223.78,230.585
223.855,230.318
223.939,229.988
224.127,229.561
224.143,229.602
224.137,229.659
224.129,229.749
224.157,229.873
224.179,230.071
224.134,230.354
224.184,230.545
224.275,230.74
224.452,230.877
224.653,231.062
225.057,231.055
225.502,231.025
225.882,231.014
226.286,231.013
226.11,231.478
225.895,232.022
225.849,232.452
225.728,232.863
225.745,233.154
225.771,233.459
225.828,233.749
225.853,233.971
225.931,234.124
226.02,234.277
226.128,234.43
226.313,234.538
226.549,234.502
226.642,234.454
226.847,234.339
227.049,234.233
227.16,234.178
227.256,234.137
227.39,234.093
227.113,234.921
227.001,235.48
226.846,236.067
226.692,236.745
226.644,237.262
226.633,237.761
226.489,238.428
226.522,238.9
226.592,239.294
226.714,239.622
226.775,240.033
